[00:00:00.789] (7aca14a777c0) INFO   Parameters: n=728, N=1024, k=1, logB=5, ell=4
[00:00:01.951] (7aca14a777c0) DEBUG  Degree before blinding & padding: 2
[00:00:01.951] (7aca14a777c0) DEBUG  Degree after blinding & padding: 2
[00:00:01.953] (7aca14a777c0) DEBUG  Building circuit took 0.002447724s
[00:00:01.968] (7aca14a777c0) DEBUG  Degree before blinding & padding: 1494
[00:00:01.968] (7aca14a777c0) DEBUG  Degree after blinding & padding: 2048
[00:00:02.092] (7aca14a777c0) DEBUG  Building circuit took 0.124289446s
[00:00:02.123] (7aca14a777c0) DEBUG  Degree before blinding & padding: 32800
[00:00:02.126] (7aca14a777c0) DEBUG  Degree after blinding & padding: 65536
[00:00:08.122] (7aca14a777c0) DEBUG  Building circuit took 5.9991107s
[00:00:08.228] (7aca14a777c0) DEBUG  Degree before blinding & padding: 65536
[00:00:08.228] (7aca14a777c0) DEBUG  Degree after blinding & padding: 65536
[00:00:13.931] (7aca14a777c0) DEBUG  Building circuit took 5.7039723s
[00:00:21.141] (7aca14a777c0) DEBUG  Degree before blinding & padding: 46218
[00:00:21.143] (7aca14a777c0) DEBUG  Degree after blinding & padding: 65536
[00:00:25.986] (7aca14a777c0) DEBUG  Building circuit took 4.8473983s
[00:00:26.106] (7aca14a777c0) DEBUG  Degree before blinding & padding: 65536
[00:00:26.106] (7aca14a777c0) DEBUG  Degree after blinding & padding: 65536
[00:00:32.167] (7aca14a777c0) DEBUG  Building circuit took 6.0624857s
[00:00:46.665] (7aca14a777c0) INFO   7.3729s to prove step 0
[00:00:46.665] (7aca14a777c0) DEBUG  | 0.4438s to run 608516 generators
[00:00:46.665] (7aca14a777c0) DEBUG  | 0.0617s to compute full witness
[00:00:46.665] (7aca14a777c0) DEBUG  | 0.0050s to compute wire polynomials
[00:00:46.665] (7aca14a777c0) DEBUG  | 3.6980s to compute wires commitment
[00:00:46.665] (7aca14a777c0) DEBUG  | | 0.0517s to IFFT
[00:00:46.665] (7aca14a777c0) DEBUG  | | 0.4769s to FFT + blinding
[00:00:46.665] (7aca14a777c0) DEBUG  | | 0.0768s to transpose LDEs
[00:00:46.665] (7aca14a777c0) DEBUG  | | 3.0908s to build Merkle tree
[00:00:46.666] (7aca14a777c0) DEBUG  | 0.0582s to compute partial products
[00:00:46.666] (7aca14a777c0) DEBUG  | 0.7925s to commit to partial products, Z's and, if any, lookup polynomials
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0092s to IFFT
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0800s to FFT + blinding
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0081s to transpose LDEs
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.6935s to build Merkle tree
[00:00:46.666] (7aca14a777c0) DEBUG  | 1.2236s to compute quotient polys
[00:00:46.666] (7aca14a777c0) DEBUG  | 0.0019s to split up quotient polys
[00:00:46.666] (7aca14a777c0) DEBUG  | 0.5923s to commit to quotient polys
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0596s to FFT + blinding
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0063s to transpose LDEs
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.5241s to build Merkle tree
[00:00:46.666] (7aca14a777c0) DEBUG  | 0.0274s to construct the opening set, including lookups
[00:00:46.666] (7aca14a777c0) DEBUG  | 0.2839s to compute opening proofs
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0679s to reduce batch of 256 polynomials
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0005s to reduce batch of 2 polynomials
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0439s to perform final FFT 524288
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.0667s to fold codewords in the commitment phase
[00:00:46.666] (7aca14a777c0) DEBUG  | | 0.1017s to find proof-of-work witness
loop 0
[00:00:54.094] (7aca14a777c0) INFO   7.4271s to prove step 0
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.4503s to run 608516 generators
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.0621s to compute full witness
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.0051s to compute wire polynomials
[00:00:54.094] (7aca14a777c0) DEBUG  | 3.7503s to compute wires commitment
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0523s to IFFT
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.5050s to FFT + blinding
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0980s to transpose LDEs
[00:00:54.094] (7aca14a777c0) DEBUG  | | 3.0928s to build Merkle tree
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.0638s to compute partial products
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.7979s to commit to partial products, Z's and, if any, lookup polynomials
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0093s to IFFT
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0810s to FFT + blinding
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0091s to transpose LDEs
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.6957s to build Merkle tree
[00:00:54.094] (7aca14a777c0) DEBUG  | 1.2449s to compute quotient polys
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.0026s to split up quotient polys
[00:00:54.094] (7aca14a777c0) DEBUG  | 0.6010s to commit to quotient polys
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0668s to FFT + blinding
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.0067s to transpose LDEs
[00:00:54.094] (7aca14a777c0) DEBUG  | | 0.5251s to build Merkle tree
